Task ID,TP,FN,FP,Precision,Recall,F1
44,1,0,0,1.0,1.0,1.0
43,1,0,0,1.0,1.0,1.0
42,1,0,0,1.0,1.0,1.0
41,1,0,0,1.0,1.0,1.0
40,0,0,1,0.0,0.0,0.0
39,0,1,0,0.0,0.0,0.0
38,0,0,1,0.0,0.0,0.0
37,1,0,0,1.0,1.0,1.0
36,0,1,0,0.0,0.0,0.0
35,1,0,0,1.0,1.0,1.0
34,1,0,0,1.0,1.0,1.0
33,1,0,0,1.0,1.0,1.0
32,0,0,0,0.0,0.0,0.0
31,1,0,0,1.0,1.0,1.0
30,1,0,0,1.0,1.0,1.0
29,0,0,1,0.0,0.0,0.0
28,1,0,0,1.0,1.0,1.0
27,1,0,0,1.0,1.0,1.0
26,1,0,0,1.0,1.0,1.0
25,0,0,1,0.0,0.0,0.0
24,0,0,0,0.0,0.0,0.0
23,1,0,0,1.0,1.0,1.0
22,3,0,0,1.0,1.0,1.0
21,1,0,0,1.0,1.0,1.0
20,0,0,0,0.0,0.0,0.0
19,0,0,2,0.0,0.0,0.0
18,1,0,0,1.0,1.0,1.0
17,1,0,0,1.0,1.0,1.0
16,1,0,0,1.0,1.0,1.0
15,1,0,0,1.0,1.0,1.0
14,0,0,0,0.0,0.0,0.0
13,1,0,0,1.0,1.0,1.0
12,1,0,0,1.0,1.0,1.0
11,1,0,0,1.0,1.0,1.0
10,3,0,0,1.0,1.0,1.0
9,1,0,0,1.0,1.0,1.0
8,0,0,0,0.0,0.0,0.0
7,1,0,0,1.0,1.0,1.0
6,2,0,0,1.0,1.0,1.0
5,0,1,0,0.0,0.0,0.0
4,1,0,0,1.0,1.0,1.0
3,5,0,0,1.0,1.0,1.0
2,1,0,0,1.0,1.0,1.0
1,1,0,0,1.0,1.0,1.0
